A,Dequ,Dins,Dpau,Dpau_an,Dsuc,Dtro,Dwil
DNA/CMC-Chapaev-3,12.1258219995723,12.0639328783691,11.8534893194947,11.6088172937658,8.56178407474411,12.1098205222363,11.58807004252
DNA/CMC-Transib,12.6433077017271,12.096151747116,13.0205565399458,12.8775185474958,12.0310761945213,12.3003049719319,12.3909160198676
DNA/hAT,11.5384080093847,10.5345199390243,11.6257272257626,11.3788224804467,8.64100247714252,9.66256183142612,11.3823610949491
DNA/hAT-Ac,11.8627580532933,11.5778982667943,12.2034291545848,11.8700613026811,11.3408314283317,11.3458195607826,11.6873240510935
DNA/hAT-Blackjack,10.0955531482795,9.23102496316902,9.79020686607716,9.77531321381262,7.51588908521513,8.57678198282789,10.6358073681705
DNA/hAT-Charlie,5.57594910314632,5.16478597392351,0,0,4.57471097850338,4.39444915467244,0
DNA/hAT-hobo,12.4995441766774,11.8498261812095,12.8581321712853,12.8650113307603,11.449591551335,11.8311464417308,12.6246152031567
DNA/hAT-Pegasus,9.93124862332152,9.03539156951164,9.88236605591402,9.61813609542263,9.13669383180788,9.77241028892919,9.8230906154641
DNA/hAT-Tip100,9.15641202995063,8.3250636936312,11.1944679838447,10.8004527432904,9.11888276148735,9.29596745794362,9.65541073467671
DNA/Kolobok-Hydra,9.23347078936504,7.87321705486274,9.50159106930499,9.72657136040072,5.67332326717149,8.97499771320498,9.11283779061494
DNA/Maverick,7.10496544826984,8.00703401219341,8.07651532755233,7.49498623395053,7.15305163493748,7.2283884515736,7.36073990305828
DNA/Merlin,0,0,5.99396142730657,5.48479693349065,0,4.39444915467244,5.08140436498446
DNA/MULE-NOF,5.79301360838414,0,5.34233425196481,5.28320372873799,0,0,0
DNA/P,12.1850890211314,11.4163705107556,12.1055835784094,11.8434730425515,10.7344382372433,12.2676615081993,12.9316434528393
DNA/PIF-Harbinger,13.5232473414108,13.9159529996981,14.2805179769114,14.0021851266397,12.012257287345,13.30253596014,13.550799942968
DNA/PiggyBac,10.5324961319798,9.63997763205533,11.5519346172846,10.7189629791715,8.30052860619974,9.39889247852077,10.7295690725198
DNA/RC,15.320020527834,14.4968123581985,15.9737164906189,15.7841828162719,14.1909733988482,15.1596630434873,15.5162785583166
DNA/Sola-1,8.55294636112206,0,6.0137151560428,0,6.59441345974978,5.87493073085203,0
DNA/TcMar,7.00397413672268,6.09582456243222,7.59839932932396,7.539027055824,4.46590811865458,0,0
DNA/TcMar-Mariner,11.2021248737255,10.3838745871616,11.5474524876648,11.4048835798745,10.4723745157154,9.90318750752713,10.5160481275369
DNA/TcMar-Tc1,11.836363119321,11.8807786983835,12.0808438337534,12.1140341080629,11.4247060859125,11.9182105568764,12.1178041150177
DNA/TcMar-Tigger,10.4277721959863,5.90263333340137,10.692444787942,10.6594686772674,7.22548147278229,8.88377886146348,9.77303712315206
DNA/Zator,7.18462915271731,0,6.71295620067707,6.60123011872888,0,5.74939298590825,6.49072353450251
LINE/CR1,15.9265086623143,15.7952359025857,16.4656695356107,16.2042736224287,11.9622288141501,15.7176698740649,15.9363480893976
LINE/I,11.6065524107489,11.5126454257629,11.722635185083,11.5646351726457,11.2993361264608,11.9132038117244,11.7681411622842
LINE/I-Jockey,14.6863933793948,14.5511643932073,15.2354023995349,14.9850841350705,11.7058901818627,14.7243854604213,14.9462553566985
LINE/Penelope,13.5940842812896,12.4908793380364,14.3876053016955,14.1167937148938,9.48303570211964,12.7566476888134,12.9196986952714
LINE/R1,14.5759579115384,14.2756910982612,15.4902299030089,15.1291218543444,12.1891044973,14.5368471569857,14.5197054867965
LINE/R1-LOA,5.16478597392351,6.15909538849193,5.30330490805908,5.31320597904179,5.82304589548302,4.45434729625351,5.68697535633982
LINE/R2,11.7686755965131,9.72064586049529,12.6163992507219,10.9018374192658,10.1753069757744,10.9629777898504,11.1784452429698
LINE/RTE-BovB,0,0,0,4.44265125649032,0,0,0
LTR/Copia,14.0332877360198,13.347568801597,14.7309205020587,14.3386105426057,12.4017874444351,14.0844653647113,14.2934463939109
LTR/Gypsy,16.6999252745363,16.4896082405748,17.3822002874645,17.0302120022165,14.2720964455802,16.8494596755789,17.1082632654299
LTR/Pao,16.1518369564619,15.94509456333,16.80633219405,16.4678012251611,12.0440888669313,16.0306543997678,16.3513540344461
